"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ithepandit: Modi fans threaten U.S. academics #NRIsRejectModi http://t.co/0qmvyTLoxG",FALSE,0,NA,2015-09-23 17:32:26,FALSE,NA,"646738909104238592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shubhamamdhare",6,TRUE,FALSE,NA,NA
"In tour of Brazil and Seychelles, Modi has spent his time in clicking side scenes,however it hurts dignity of PM post #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:32:25,FALSE,NA,"646738904326930432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iMehulninama",4,FALSE,FALSE,NA,NA
"RT @Vidyut: If Modi praised Islam in India, like he did in Azerbaijan, his own MPs would send him to Pakistan :p #JustSaying  https://t.co/…",FALSE,0,NA,2015-09-23 17:32:25,FALSE,NA,"646738904209485824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tamil1947",27,TRUE,FALSE,NA,NA
"RT @Babu_Bhaiyaa: ABP News is hurt and outraging over why Modi took a jibe at Secularism...This is what exactly wrong with Secularism...",FALSE,0,NA,2015-09-23 17:32:25,FALSE,NA,"646738903769083904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","geek_iitk",105,TRUE,FALSE,NA,NA
"RT @Joydas: Modi will visit Silicon Valley.
*Speech*
Mitron, i have deep relationship with Silicon. Back in India, everyone calls me Silly …",FALSE,0,NA,2015-09-23 17:32:24,FALSE,NA,"646738902447878145",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AloysiusXDiaz",218,TRUE,FALSE,NA,NA
"RT @ANI_news: If this had happened in India then some would have raised questions on secularism-PM Modi #ModiInIreland",FALSE,0,NA,2015-09-23 17:32:24,FALSE,NA,"646738901969711104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sanjeev061970",193,TRUE,FALSE,NA,NA
"Great Eastern Energy Corp Ltd Wednesday said it has appointed former Chief Operating Officer #Prashant Modi as... http://t.co/SHaqEo67Lv",FALSE,0,NA,2015-09-23 17:32:23,FALSE,NA,"646738896923922432",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","anilyadav34",0,FALSE,FALSE,NA,NA
"RT @ibnlive: DirectivePrinciples of State Policy in Indian constitution are inspired by Irish constitution:PM Modi #ModiInIreland http://t.…",FALSE,0,NA,2015-09-23 17:32:23,FALSE,NA,"646738896831643648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ayyappashantha3",11,TRUE,FALSE,NA,NA
"RT @Babu_Bhaiyaa: Respected Barkha Dutt ji in US to cover Modi's visit...It reminds me of this tweet...
https://t.co/ewiiQr40w1",FALSE,0,NA,2015-09-23 17:32:23,FALSE,NA,"646738895934201856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinayakjeergal",62,TRUE,FALSE,NA,NA
"RT @ndtv: The visa was denied to Modi at the request of the UPA government: Economist Jagdish Bhagwati #BhagwatiOnModi http://t.co/pGLzrpcB…",FALSE,0,NA,2015-09-23 17:32:22,FALSE,NA,"646738893509926912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SNChd",393,TRUE,FALSE,NA,NA
"RT @vinaydokania: Modi visited War-torn Jafna in Sri Lanka, but didn’t care to visit flood hit Amreli, Banaskantha-Gujarat #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:32:22,FALSE,NA,"646738892436148225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saurabh49546494",8,TRUE,FALSE,NA,NA
"RT @FalakThakkarr: Longtime Critic of Modi Is Now a Target - NY Times AUG19, 2015 http://t.co/F9Q6obQJYg #NRISRejectModi",FALSE,0,NA,2015-09-23 17:32:22,FALSE,NA,"646738892109017088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ashish_R87",19,TRUE,FALSE,NA,NA
